Message,Reply
"Home Safe ma boy , shot for the night ma boy, it was too dialed","Lovely my g. Thanks for coming my boy, was a goated night"
It's looking grim ma boy you going to the gym today ma boy?,Nah g I’m in Cape Town until tomorrow evening
Bruh I swear the Physiques online tweak me the fuck out... like how are guys our age so big  ,That’s why we need steroids
"They been good g, haven't gone to many because I implemented your technique how have yours been?",Yeah haven’t been too bad but I can tell this semester is going to kill
"They been good g, haven't gone to many because I implemented your technique how have yours been?",Goated technique I swear
Surely some Arms g?,I’m down broski
I'm good for 11 ma boy or 10 30 is also chilled,Could we do 10:30?
"Aweee ma boy, what you hitting today?","Shit my bad g, didn’t see the message. Friday was a rest day"
"Eyyy what's up ma boyyy, I'm hitting some back tmw , you?",Hitting arms g
"Nah ma boy, I'm done this week. You? How've yours been?",Very nice. Writing data science in tmrw but nothing else
"Goodluck for your test today ma boy, you got that shit in the bag",Thanks g 
Lemme know if you wanna hit a late sesh after your test,Don’t think I will end up going but I’ll let you know
"Eyyy nic ma boy, what time you gyming today g?",Whatsup g
"Some shoulders probably g, you?",Had a quick back session my boy
How fo you lift so early ma boy? don't you feel depleted ma boy?,I do feel depleted I feel like I more productive work wise when I go in the morning
"Iwl it's looking rough as fuck, next 2 weeks is fucked. 

For you ma boy?","Exact same g, I’m so cooked"
What you writing ma boy?,"Got both math stats, ecos and comp sci project hand in"
"Nah ma boy you got that shit in the bag, if I know you, you've been grafting for weeks ",Yeah bro can’t lie I’ve been locked in… just hoping I’ve done enough
"Sorry ma boy, been mizing the gym this week, writing Abstract on Monday

We'll slam a hard sesh after A1s",100 %
"Sorry ma boy, been mizing the gym this week, writing Abstract on Monday

We'll slam a hard sesh after A1s",How you feeling for abstract ?
"I have a lecture tonight till 7, so I might only be able to go after that, if it's too late I'll slam a sesh with you tmw g",If you want to go after I’m still down
I'm doing good boitjie how are you?,This semester killed me g
I haven't seen you in ages g,I know broski
Are you back in Stellies?,Yessir
"Howzit Niccc ma boyy. Happy Birthday my g. I hope its an amazing one brother. Shot for all the memories ma boy. You are such a solid gent, never change my g ","Thanks so much my boy, much love for you g"
But please can we hit a lift sometime in the week ,Surely
I might hit a late session. What time you going?,I’m going at 4
"Sorry my g , we cant make 5 30 are you guys for drinks after the paddel ma boy?",No stress homie
"Probably only after 4 ma boy, you?",What you want to hit?
"Om also easy g, do you have a tut at 2?",You have a tut?
"And thank you for coming today ma boy, you always going out of your way to make plans my boy and I really appreciate.  You a real one ma boy",Of course my boy
How've yours been?,only written ecos so far and it was pretty chilled
We must do it more often,100%
"The team says you missing out!!
Hope to see you tomorrow
Feel better soon.","Daaamn that looks good!! Thanks Sanda, I’ll most probably be back tomorrow. Hope today’s been good!"
aw thank you so much!,Apparently josh has it but dyls going to get it from him
hectic hey i feel like im playing catch up all the time  and you?,Exact same 
"Happy happy birthday!!! 
I hope you had a great day and celebrate accordingly! I hope the year ahead is everything you wished for and more! 
Lots of love!",Thank you :) definitely wanting to see you and Jono a lot more this year than last. Hope you enjoying the last bit of the holiday
Yess!! We must!! You all moved in and everything?,Mmm pretty much. Still got some sorting to do but mostly done
"Ahhh lavish, house warming soon ",For sure for sure
Keen for a drink,Yesss
I was thinking padel and a drink maybe Wednesday if you keen?,Sounds lekker
That’s perfect we can do either 5:30 or 6 and then drinks after?,Both work for me… maybe 5:30 ?
Of course!,Awesome thanks
Okay perfect! Should I book? You want to play at the one just outside or where should we play?,Yes yes
Hope tut test was OK. Good luck for later,Thanks mom !
Is Faith's stuff sorted?,Yes thankfully
Awesome. Can you rest a bit now?,Yea thankfully. Going to take today off and then start working tmrw
"Flights on 29th...10.50, 11.45, 12, 1.10, 2.35",How about 2:35?
"Fleur is having a family tea (not for my bday) at 2 so will be out then.
Will take Nana and Gapu to the airport early and then maybe do breakfast...so pbably home between 9 and 2, then after 4ish",How nice of Fleur. Ok cool cool
Has Clayton got back to you?,"Yes he did, I’ll show you what he said"
2 35 or 3.15 on 29th? I must book now cos prices already gone up,3 15
I like the length,Then You should get
"I did get it, love it. Mine has a zip all the way down though, so a bit different from the pic.
Fetching Nana and Gapu from the airport just now.
How are you?","Very nice. Been taking it slightly slower recently, think I’ve burned out a little bit. Have a lot of work to do still so that’s also a little bit stressful. How’re you?"
"Dad's bday is on Tues.. do you guys want me to buy something from you??
If yes, how much do you want to spend?",Yes please. Just discussing prices with Dan
Are these April dates correct? Shldn't they be June?,I meant may not April sorry
Did you get the tuna from Dan last week?,Yeah I did thanks
Did you remember it's Dad's bday?,Yes I did
Why?,I’m buying more now and forgot to check
Where are you?,Stelkore
How you?,Definitely feel better after the 2 days off but just feel like I’ve lost all interest in work
Hopefully a proper break in July will help,Me too
How's Faith?,She’s good. Tired too but feeling much better about stuff without having to deal with other stuff
"Top box for you and Faith.
Bottom one for Dan. Pls give it to him either on the 21st or the evening of the 20th",Thanks mom . Will do
I also had some Xanthum gum stuff which I bought and we are not using. Added it to your box. Expires in 2025,Ok cool thanks
Hope Faith likes vanilla coke...,She’s drinking it right now  she does like it thank you mom
Dad says stretchers,Ok cool sounds good 
"So you know, Sandy Leicher has breast cancer, waiting for biopsy results.
We will be giving you boys an extra R1000 a month from this month",Oh gosh that’s horrible. 
"Good luck for tmw, even though I know it doesn't matter.
How's your work for Thurs going?",Thanks mom. Very ready to be done with math stats. Getting sick of studying it
Pls send me Faith's timetable. Unless that's just over the top,Will do sorry. Just keep forgetting
"Good luck for tmw Nic.
What time are you writing?",Writing at 9. Thanks mom
Since you still haven't changed your absa email address...,I’m definitely going to use it. Thanks mom!!
Did you try those biscuits?,I did. I actually really like them
Hope your work going well. We're going to Kaylee Bibis' 21st tonight...maybe spk tmw?,Sounds good
Love you,Love you too
How's your work going?,Really struggling to get myself to work but not going horrible. How’s yours?
Shame boy. Mine's ok. I'm fighting off flu so not feeling great but not terrible either. Rock on the holidays,"Oh no, hope you feel better soon. really looking forward to being done"
But they are both quite opinionated,Very
Do you write on the 20th?,Yep
And I just want to watch tv,Haha I didn’t realise they were arguing right now… very funny
Dad's battery died so now we can watch tv,You should give him your phone to call Dan back on
For about 30 minutes.,Goodness 
Perfect. How's work? Still tough I imagine cos you're tired...,"Was going decent but taking a day off today because super tired. Let me know when you guys want to talk, anytime works for me"
"K, I'll msg you when dad is home.",Sounds good
Have you ever bought off yaga?,"I haven’t, what is it?? Just a website"
Photo,"Looks really nice, really good price too"
"Meant to msg Dan, instead msged you twice",I thought my phone was freaking out when the notifications came through again 
Maybe don't push too much tmw. What time do you write on Thurs?,"I write at 14:00 so have some time in the morning, will probably only do light revision today"
this is an option but not necessary. Does Faith have an up to date passport?,"She does and asked her mom and sister where it is and they can’t find it, worst case we can’t get it in time then all of you guys can go and we’ll just chill"
Have you packed the router?,Yes
Got your ids?,Yes we do 
"The Andersons haven't taken their passports. Dave says you don't need them. I'll take ours if Faith has hers, otherwise I won't",Ok cool cool
Sure?????,Yes thanks
"Thanks, sorry I woke you .
Maybe do a battery swap first. I think we have in the cupboard opposite your toilet. There is a pinkish tin box that hopefully has these:",No that’s fine don’t worry. Where’s your remote?
"I'm also doing a Sixty60 shop so there is food, you ok to unpack?",Yes I am 
"Nb check your bank acc
Nb send me your timetable","Oh flip thank you mom. Didn’t see the transaction. I will send now, just at gym"
Photo,Enjoy
How has this week been?,I’ll call in about 30/45 mins?
Dad agrees about you trying meds and seeing your Dr,Ok cool cool
"Hi my boy, I got back from pilates and then Dan phoned. Dad and I are stuffed. OK to spk tmw?",Yes of course
Thanks. I do  Haven't had time to do anything with it but will tomorrow,Ok cool. Let me know if you need any help
I saw my oncologist today. I'm 10 years post chemo and my bloods and CT scan are clear. I can go off my meds ,Congrats mom must feel amazing. How’s the iPad??
I hope you've got Jayde a gift....,I have
Have you made a Dr's appointment?,"I haven’t yet, will tmrw"
How was your weekend?,Was very good. Obviously wasn’t able to get work done but I think it was  good to have a weekend off before going full on again
I do think they are a good idea. I suppose I would worry about safety with them being noise canceling but I assume you would only be in safe places using them?,Yeah I would either be in my room or in the library
And apple airpods? Aren't they also noise cancelling?,The overear ones are but they’re R12000
https://www.techradar.com/news/audio/portable-audio/best-noise-cancelling-headphones-1280490,My ones are cheaper than all of these. Unfortunately they’re all very very expensive
Photo,I was also looking at these for a while. The bowers and Wilkins is better quality apparently
Photo,Yes that was me  why can you see that ??
0:34,Yes it does. Thanks guys!!
 9.40. I've just checked in...booked De Vleis paleis for 6pm tonight...,Sounds good  see you later!!
Photo,Yayyyyy
"It was good. Lovely and warm here, so nice to be here  missing you guys though ","That’s good. Missing you too, thanks for spoiling us so much."
Photo,That looks really good
When is your second hand in?,Today at 2 sadly
"Really good, relaxing nicely. How you?","Very glad, seems like you guys are having a lot of fun"
You must be exhausted,Yeah I am; all the work is starting to pile up
Good luck. Love you,"Thanks mom, love you too"
Got quite a bit of catch up when I'm home again with Dad's and Warren's stuff and my tax etc but at least I'm feeling more rested,That’s good. Always nice to have a reset. When do you get back home ??
Sunday eve. How's Faith?,Cool cool. She’s good. Her project hand in is today but she’s done so not too stressed.
" try not to work too hard.
How's your anxiety?",It’s okay. Starting to stress more about work but nothing horrible yet
" just landed, will see what time I get home. Wld tmw also work?",It would 
Better that you asked actually!,"I thought so, break the ice a little"
I am!!!,"Good, what time you getting it?"
"Ordered the dark choc ones, half for you, half for Dan",Oh sorry didn’t see. That’s perfect thanks
Would you mind collecting when they deliver? Will be tonight,Sounds good 
You free to talk?,Yes
Good luck for this eve!,Thanks mom
Photo,That looks good
Good luck for this eve!,Tmw actually? I thought today was Wednesday
At least it's done. When's your next thing?,I write a compsci prac test on Friday. But then nothing for a little bit
Photo,"I’ll try it out, what does it taste like?"
"Oh my goodness, I LOVE my ipad ",Why?
"Using it for therapy notes, all my work for Warren. It's so use friendly. Love being able to write",It really is amazing. Glad your loving it
Does Faith still like milo bars?,Yes she does
You happy with jungle oats bars or rather something else?,Yes that’s perfect thanks
So Dad will pay you the 5238 and then the 6785 next year when he would have to pay the fees. That work?,That’s perfect but I also don’t mind waiting until next year when you actually have to pay less. I don’t have any plans to spend it so it really doesn’t matter when I get it
Would you eat peanut butter biscuits? Or rather not?,Rather not but thanks mom
"Choc covered jungle oats bars or berries jungle oats bars? Those were the only 2
Or a mixture?",Choc covered please
Want me to just get for you?,No it’s fine I’ll get it thanks
"I am easily able to go to the pharmacy this afternoon, let me know if you change your mind about me getting","If you going to go to the pharmacy anyway then yes please, but otherwise I’m good thanks"
Sorry you are under so much pressure. Love you ,"Thank mom, love you too"
And take your vitamins,I will
Hope you found time to breathe today ,"Thanks mom, very busy but I’m doing good "
How gorgeous is this quilt!,Looks great
You must be shattered,Yeah I am
How long before you get results you think?,Probably 2 ish weeks
Is Faith there?,"Yeah she is, why?"
Have you replaced your birkenstocks? What size are they?,Yes I have ha. I bought a pair with the sale. I’ll send a photo when I get home
Have you managed to relax a smidge?,I have actually. Been nice to take some time off. Have just been doing my data science project which has been relatively fun
Those are SO nice!,Thank you! I really like them. I think you would too actually
Don't you want a pair of sandals like you had though? Cos I cld buy for you (and then give D money for his trip),Thank you mom. Can I maybe think about it and then get back to you?
Of course,Thanks mom
"Oh fab, happy to have your 21st there?
Who must I pay back? How much was it?","I think so. It’s a nice place. Dan paid, don’t remember exactly how much it was"
Maybe spk tonight? Or tmw?,Tonight sounds good 
Will be painted next week,I actually like it this way more I think. Looks very good
"I'm pleased you like it 
How you feeling?",Feeling better after taking yesterday off. Started working again today but not going 100% yet
"Good, taking your meds??????
When is the next thing you have?","I have… not as often as I should though, oops. I have quite a few days off. So pretty much just have to start prepping for exams"
Looks like you are having a great time. Hopefully it's just what you need. Love you lots ,Love you too. Been very lovely to chill today. Going back tmrw morning.
Send lots of love to Faith too pls ,Will do
https://www.facebook.com/share/p/cZDTeK9NMkwGtVLQ/?mibextid=WC7FNe,Looks nice. I think it’s already taken judging from the messages under
Video,Looks so good. Definitely better having the bed that way
"I'm getting Dan some Ensure from Sixty60, anything you want?",Oh sorry didn’t see
Photo,Yea that’s perfect thanks mom
"Cool, I'll order now? You in today?",Yea I I’m. Sounds good 
They are not the sharpest.,Not at all
Photo,Same. Cindy said it was a glitch in the system
"Dan is pbably going to fly back with us on the 2nd of Dec so I'm going to book his ticket.
Are you planning on staying a bit longer than that? Or too early to say?",There’s a good chance I do too. But o think it’s a little bit too early to tell. I’ll let you know soon
He spoke to us for about 45 mins. I don't actually know what to do anymore.,Eish
"Nicola wants to know if she can pay you to feed her cats from the 10th til the 27th of Dec (just once a day)?
I can help when you are recovering from your wisdoms",I’ll do it for free
Might even be once every 2 days,That’s okay
I'm happy to do it tmw. Just let me know which time she wants. I'll book a bag too,Thank you mom. I think the 16:40 one. Thanks
Do you want an advent calendar??,No thank you
What time is Sweepsouth coming? Either Faith or I can stay at your place maybe. You and Dan are going to have to load and offload...,At 7 in the morning
How you feeling?,Tired but good thanks
Or wait til these come out and do 1st year and second year?,He said doesn’t matter about the marks this year
Car crowd won't take packed car. Trying to make arrangements,What
Dad will never let you,You think?
He suggested putting Dan's stuff into storage but let's see the responses,But isn’t the issue that Dan wants the stuff in there?
Too long on your own,I’d be fine though. I have been driving for a while
Thank you!!!!!!!! How much was it?,300
What does Faith want for Christmas? Cash?,I’m gonna do some shopping for her in joburg so maybe you can contribute and we can get some stuff together?
It is the parkings next to the rebbish area. There is about 10. He can ask security if he's unsure. I'm not sure if they have numbers on.,Okay yes I parked there
How are you??,Yeah fine. Nothing was too stressful
How was the drive?,Was good. Roads weren’t too busy
Maybe get a printed boarding pass in case,Oh you're pbably already through
Oh you're pbably already through,Yes I’m in mug n been
Ostrich burgers tonight? Or something else?,Sounds good
Are you sick of sitting there?,A little bit but not bad
So Faith will meet the cats...,Yeah I was just messaging her about it 
https://www.gumtree.co.za/a-house-rentals-flat-rentals-offered/stellenbosch/1-bedroom-garden-cottage-to-let-in-simonswyk/10013067389641012946860809,No parking
"Dad not wanting to play padel today cos of work.
I'm happy to skip it and get on the treadmill?",Okay cool 
"OK, well ask for a video and see what's included",Let me know what they say pls. Also ask if it's furnished or if your dbl bed could fit
https://www.sahometraders.co.za/apartment-flat-to-rent-in-stellenbosch-central-114987571,That one’s already gone I think
Hopefully Faith will join us???,She definitely will
Lease has been signed and sent through,Awesome
https://loadit.africa/coverage?gad_source=1&gclid=Cj0KCQiA4rK8BhD7ARIsAFe5LXI3PcK_xbMnUubV3VCqRkUTM_Ox7HBtmGvVE66kX4R2w-pceDiuPJYaAt9uEALw_wcB,Thanks mom. Very handy
Nb go fetch Faith's Takealot parcel if it has arrived,Yes it has. Will do. We have till the 26th to get it
Photo,Very cute
Photo,Hopefully tennis courts are scheduled in the multi use courts
Temporary reprieve cos Noel phoned Dad,Haha
How's the packing going?,Haven’t started. We both a little too tired to be productive at the moment
You've got the rest of the week to work.,Yes yes thankfully
"Flippin tiring. Didn't go to pilates, canx my walk tmw",Eish. Glad you taking it a bit slow
Did you send Jean the POP?,yes i did
Good luck for all the packing etc today. Love you lots ,Thank mom. Love you too
They want you to be there early,Am I right I’m saying that we have to be there at 9
"They want you to have all your stuff downstairs and ready to load on the truck by 9.30 at the latest is my understanding. That's what I eventually said anyway.
She wasn't totally clear. Just said he's got 4 more students after you.",I don’t really think that’s possible. It’s just me and faith… no one else can help
0:16,Will do. Love you too. Goodluck for the day
Dad has been out cycling in case you think I'm replying to someone sitting next to me by text,Oh okay 
Did you get the washing machine?,Yes 
Photo,Yes
"Don't worry to phone back, just had a whole bunch of questions and Dad was rushing so I kept it short",Can call in a bit if you want? Fetching car from service
Photo,Perfect thanks
I think 5 is better? 3 is early,Agreed 
Happy 21st birthday Nics. Love you lots and lots and so proud of you always. Will chat later ,Thank you mom. Love you too. Chat later
How has your day been?,Been good so far. Very tired from the early mornings and all the packing. Looking forward to being able to chill a little more
Feeling a bit better or still stressed?,Definitely better today. Still slightly on edge
"We will bring a pillow, sheets etc for Dan (or other ppl) for the mattress. Do you need anything else? We have space",No no that’s perfect thanks mom
You ok to have him there?,Yes of course. Would be silly to not have him here
Just checking with your stress levels,Thanks mom but yes happy to have him here
Photo,Looks good 
How are you feeling?,Excited for the party but stressed about not working at the moment
"Don't know, they haven't said anything. 
They're landing in CT at around 11.30 I think",Ok cool
Easier said than done but maybe try let it go for the weekend?,I think I will. Wouldn’t be the worst thing to take the first week slow
"Fine, good sleep, just lazing",Nice
What time are Faith's family coming through?,They leaving hout bay at 3
"Good morning, Stacey.
Catherine will be in charge of your table.
We will set up a bar in the courtyard, and you will have a dedicated bar man to pour your drinks",Very cool
"I might talk tonight.
OK if I say something like....
Faith, we are so happy that you are such an important part of Nic's life and, of course, now part of ours",Yes yes that sounds good
sent to Casa,Thank you mom
"Sorry, I don't think I sent this to you. It's the reply from Jean re the bins. Suggesting that you pop in to see the estate manager etc",Ok yeah I think I should thanks mom
Bought 2 bug zappers...,"They really are amazing, have you used it yet??"
Photo,Yes that a prefect dress for warrens thing and looks good in general
"Wow, they still look amazing.
I'm in bed reading, took a mental health day...
How's your place looking?",Great idea. Place is looking good but still waiting for couch… seems like everything is on pause until that happens
So good. Did you get a machine for your bday?,"I didn’t, the keyboard was the gift instead… still trying to decide if it’s worth it to get one"
The coffee really is good though...,I think I’ll wait a bit and decide at a later point
Nb rent,Yes paid today… do I have to email the pop to that same email address or was that only for the first one ?
Have you received varsity parking?,No not yet unfortunately… although it works with parking at the gym
How's work going?,Going decent… tired at the moment but not bad. How’s yours?
"Just wanted to say that as much as we want to celebrate with Faith for her birthday, she also mustn't feel pressure to have us there ",She would love to have you here for it
Good luck for tmw ,Thanks mom
Is it done?,Yep. Was very hard… not too sure how well I’ll do
"Kelly update...
They are officially going out...and...
Kelly is coming here this weekend...",That’s so cool
"I am excited to meet her, she's apparently nervous (perfectly normal). And I'm happy for Dan cos he's happy.
Hope they're good for eachother",Glad to hear he’s happy. Let me know how it goes
Also a bit hard cos I'm so used to Faith. And really comfortable around her,Yes makes sense
electricity info,Cool cool
Photo,"Very nice, looks like your style"
And Dan and Kelly are also coming to Warren's party,very cool... when is it?
"Padel was fun, missed you 2 though","glad to hear, is she still there?"
"I saw that, just wanted to dbl check they got the modules correct",Yes they did
How are you feeling about it now?,Good. Feeling like it was the right idea
Do you have the couch yet?,Nope…
And how's my baby?,Crazy
Jayde says you guys are thinking the 26th for Faith's bday?,yes that was one of the options
And the others?,so far that the best one so think will end up being then
That's a very good idea. Maybe even some of our family holiday pics,yes definetely
Are you guys planning on coming back to Stellies on the 26th after Faith's thingy?,for some reason I assumed it would be in stellies but makes sense that it wouldn't. If it's not then yes we'll come back
He is trying to decide. He wants to be there to celebrate with Faith but will be there again mid May,And he's not here to talk about it
"OK, so we'll grab lifts then. Jayde has offered to have us stay at her too but think easier to stick to Stellies",yeah don't think there will be enough space with everyone staying over in Cape Town so I will definitely come back
And he's not here to talk about it,he with Kelly
I'm assuming it's easier for you not to join us in Blouberg cos of Faith and Nala?,I think I should be able to still
I know!! And they did a hike with friends and then played padel in the afternoon,very nice... so is he coming back tonight?
https://za.rapid.studio/site/hardcover-photobooks?srsltid=AfmBOoqklVm8IZgPZfRLdK3cTXhISugooYO_BM2OYO2NKG6mApcE7lGe,Looks lekker. I like this one
Just out of interest...,"Yes that’s still an option. The only thing is the reviews for lift weren’t absolutely amazing, but I guess it isn’t for any airlines"
"How's it going on your dbl meds? I forgot to ask.
Also, pls tell me what I owe you for them",Think there’s still an adjustment period with them so I don’t feel anything just yet. Do you guys pay for that ?
Spoke to Dad about you guys thinking about roadtripping up in Dec with Nala. He wasn't concerned at all,"Ok cool, glad to hear"
Nb pudo,Got it right now thanks mom !
Missing you guys a lot!! Can't wait to see you in Stellies ,Really looking forward to it!
Ideas for a gift for Faith?,"She’s still not really wanting anything yet, will give it a think about"
I cleaned Dob and it died  going to order a new one,Oh no
Thought of you...,That’s actually a pretty cool Lego
"Cash still a better gift for Faith tho, correct?",Yes. Spoke to her about it and yep
Can't get Nala just right,This one’s actually a pretty good representation 
Photo,Thank you mom
"This is all I can see.
Are you on a community group there at all?",Unfortunately not no
Pls send pic of your Irish passport,Do I have it?
Is your power back on?,Yes thankfully
From Spain. But I've got the actual passport,So what do I have? A copy of it?
"I have 2pm on Thursday 
2pm and 4pm on Friday","Ok cool, I’ll do 2pm on Thursday. Thank you so much"
Thank for inviting me. Was a blast. The wines from Hanco,Of course. Please tell him I said thank you
"Happy Birthday Nic! Wow, 21 years! Hope you have a great day and have some fun celebrations planned. Sorry I won’t be able to join you next weekend, but sure you’re going to have a great time!",Thanks so much Janine !
We going to boschendal at 1 tomorrow then some drinks after. Dan said you were busy so don’t stress if you can’t make it,Thanks for the invite Kevin. Yeah sorry I have and exam Monday and proj hand in on Sunday so not gonna be able to make it. I’ll drop off a present sometime next week that works for you
Uh sorry we found someone else,No stress 
I’m keen to go out and play pádel after tho,Yeah I’m down but don’t think Dan will be
We might do a braai after if you also keen for that but that’s going to be kinda on the day planning,Ok sick sounds good
You wanna come by my place at like 2:15 or you gonna go straight there?,Im keen for that. Faith is driving so she’ll drive us and whoever else needs a lift
"Kiara, some mates from Eng and possibly Chris. But Chris being Chris is not giving me a straight answer",Sick
I think we’re good,Ok then maybe meet you there?
"Hey dude how you doing? Yeah I'm gonna go, I have a biochemistry practical at 10 anyways so might as well go to class and I'll gym in between",Yeah good thanks and you? not in the mood for class but also gonna go. See you there 
Please tell me you're subdef looks like this. Cause if so then I finally had my eureka moment and I know what to do ,"Before you call parse_type, you should check if it is a type first"
Photo,Yes exactly that
Then what is type token for?,It’s pretty irrelevant lol
Still need to write it but assumes you would check here if the toke.type you give it is tok_boolean or tok_integer,You don’t have to do it for all of them
Yeah I think you can either do it ther le or manually,Yeah
"Is this fine for parse factor? Also what do I put instead of tok_index and tok_arglist as those are obviously not tokens? How do I check that out need to parse_index for example? Also if you've got other stuff you need to do its super chilled I don't expect you to take time out of other stuff, please don't take time out of other stuff if you can't, but thanks so much for the help so far.",Yeah but you don’t need parse_num
"Is this fine for parse factor? Also what do I put instead of tok_index and tok_arglist as those are obviously not tokens? How do I check that out need to parse_index for example? Also if you've got other stuff you need to do its super chilled I don't expect you to take time out of other stuff, please don't take time out of other stuff if you can't, but thanks so much for the help so far.",The tokens at the beginning of arglist
"Thanks so much for the help, just don't have time to properly bugfix this week's been so hectic, really really appreciate it","Yeah of course bro, any time"
"Hey man, I'm hella sick, started coughing up blood this morning so probably not a good idea to come to class, could you please let me know if I miss anything important in comp Sci?","Shit bro, that sounds horrible. I’m not going in to class today"
"Only thing to be carefully about is fgets(array you want to write to, max number of characters you want to be able to put in that array, file) will overwrite anything in that array, so you need to process one line at a time",Oh shit okay
Aight turns out file stuff is actually super easy,Thank you bro 
"Yo, what does your parse expr look like with type checking? I'm 99% sure I'm doing it right but I'm a bit shady on a few things ",I’m not doing type checking lol
You made the right decision,Ok I’m glad 
So did you just do the symbol and hashtable then?,Yeah yeah
Haven't done anything else since yesterday  cycled to somerset west and went shopping for my dance tonight so haven't really had time,"Why did you cycle there  that’s insanely impressive, don’t think I could make it that far"
You need to call parse type (which you already are in your code above expect id) and give it a pointer to a type variable and set its type in there,Ooookay yes that makes sense. Thanks man 
"No worries dude, shout if you need more help","Also feel free to ask me questions, made it decently far now"
Ah thanks dude ,How was it?
"I'm doing it now, I'll let you know, sorry haven't been by my phone",Actually don’t worry about that. I’ve deciding I’m just not gonna do them
Dude my codegen got fucked,Shit man that sucks
"Just need a 75 average for the a1 and a2 and do okay in the assembly tuts and I'll be fine, but gonna be close",You can definitely do that I I’m you’ll be more than fine
I'm just done with this class,Bro
"Dunno, the only comments is style check stuff",Oh what. What’d you get for codegen?
"If I look at the test cases half of the stuff is left blank, so either that means that they didn't mark it or I got 0 but it worked for me on the narga computers so I don't understand",Maybe it was an issue on there part
"Idk maybe, thing is I just don't have the energy to argue with them",Fair enough
How'd yours go?,Yeah mine was decent
I'll see when the test cases come out and I'll test it,Good idea
"Not too bad, did a fair bit of playing around with assembly over the weekend so getting the hang of it. Just looked at tut 6 and 7, 7 will be easy but 6 is gonna take some thinking, won't be too bad tho I don't think",Yeah I’ve mostly done 6. Does take a lot of thinking but nothing horrible
Btw I'm gonna go grab some ice cream at 5:30 for my birthday if you'd like to join :) and you can tell mia and Adrian and everyone else that they're more than welcome to join,"Oh for sureeee, that’ll be sick. I’ll be there"
Btw I'm gonna go grab some ice cream at 5:30 for my birthday if you'd like to join :) and you can tell mia and Adrian and everyone else that they're more than welcome to join,Will do. I don’t have all of their numbers but will message dylan
Yeah yeah  I'm a fossil,Happy birthday man 
"Awe sick, I'll send you a pin in a bit",Cool cool
